2011 super output area - lower layer,2018,2019,2020,2021
W01000553 : Pembrokeshire 011A,13.033,12.035,10.37,15.052
W01000554 : Pembrokeshire 009A,9.931,9.856,8.732,10.907
W01000555 : Pembrokeshire 008A,12.885,13.076,14.971,18.434
W01000556 : Pembrokeshire 008B,8.431,7.989,6.982,8.297
W01000557 : Pembrokeshire 014A,11.24,11.653,11.249,14.157
W01000558 : Pembrokeshire 001A,14.559,14.59,15.735,18.436
W01000559 : Pembrokeshire 001B,14.805,15.278,15.455,16.156
W01000560 : Pembrokeshire 001C,14.471,12.313,12.563,16.168
W01000561 : Pembrokeshire 001D,31.775,30.034,26.381,26.529
W01000562 : Pembrokeshire 002A,12.933,13.437,12.852,15.668
W01000563 : Pembrokeshire 011B,11.348,12.637,10.852,15.943
W01000564 : Pembrokeshire 011C,11.878,10.537,9.149,11.418
W01000565 : Pembrokeshire 002B,10.866,10.399,8.494,10.319
W01000566 : Pembrokeshire 002C,22.506,23.777,24.221,26.283
W01000567 : Pembrokeshire 002D,29.134,27.678,19.657,21.336
W01000568 : Pembrokeshire 005A,135.016,162.884,146.666,172.147
W01000569 : Pembrokeshire 005B,7.635,7.487,7.748,8.373
W01000570 : Pembrokeshire 005C,4.665,4.694,3.841,4.397
W01000571 : Pembrokeshire 006A,51.406,54.421,54.637,63.046
W01000572 : Pembrokeshire 005D,142.141,150.191,165.818,203.929
W01000573 : Pembrokeshire 006B,92.659,132.258,145.42,182.403
W01000574 : Pembrokeshire 015A,267.41,272.506,241.201,394.517
W01000575 : Pembrokeshire 008C,25.299,27.131,27.49,31.297
W01000576 : Pembrokeshire 011D,19.759,19.685,17.79,26.564
W01000577 : Pembrokeshire 007A,21.227,20.507,21.928,26.521
W01000578 : Pembrokeshire 014B,16.058,16.514,17.067,18.959
W01000579 : Pembrokeshire 003A,23.251,21.454,21.437,27.934
W01000580 : Pembrokeshire 009B,10.856,10.773,11.277,13.054
W01000581 : Pembrokeshire 003B,16.144,14.367,15.753,22.897
W01000582 : Pembrokeshire 004A,17.915,16.565,15.435,19.466
W01000583 : Pembrokeshire 004B,21.304,22.004,24.425,27.793
W01000584 : Pembrokeshire 014C,27.235,27.701,26.61,32.398
W01000585 : Pembrokeshire 007B,40.52,39.687,31.17,41.129
W01000586 : Pembrokeshire 006C,58.293,71.874,53.479,53.898
W01000587 : Pembrokeshire 010A,35.704,34.495,30.969,35.784
W01000588 : Pembrokeshire 010B,8.317,8,8.297,10.946
W01000589 : Pembrokeshire 012A,11.737,10.637,13.458,16.715
W01000590 : Pembrokeshire 012B,7.252,8.084,7.049,8.619
W01000591 : Pembrokeshire 012C,24.13,35.109,32.106,22.113
W01000592 : Pembrokeshire 012D,4.263,4.041,4.311,4.877
W01000593 : Pembrokeshire 010C,36.695,39.869,38.226,46.985
W01000594 : Pembrokeshire 012E,17.566,18.858,17.709,20.757
W01000595 : Pembrokeshire 007C,28.181,30.638,27.257,33.629
W01000596 : Pembrokeshire 007D,35.816,38.872,34.839,47.067
W01000597 : Pembrokeshire 002E,15.118,15.727,12.675,16.554
W01000598 : Pembrokeshire 009C,25.943,26.647,24.26,28.846
W01000599 : Pembrokeshire 009D,39.591,147.511,129.465,154.225
W01000600 : Pembrokeshire 013A,29.303,28.826,25.384,32.112
W01000601 : Pembrokeshire 013B,39.677,57.056,53.371,67.254
W01000602 : Pembrokeshire 013C,35.279,39.961,37.4,45.989
W01000603 : Pembrokeshire 013D,44.785,49.338,46.49,54.203
W01000604 : Pembrokeshire 013E,5.163,5.293,6.062,8.727
W01000605 : Pembrokeshire 013F,6.308,6.519,6.327,7.63
W01000606 : Pembrokeshire 015B,7.776,7.729,8.264,10.383
W01000607 : Pembrokeshire 015C,22.715,21.343,18.939,22.654
W01000608 : Pembrokeshire 015D,267.41,272.506,241.201,394.517
W01000609 : Pembrokeshire 014D,13.589,13.33,14.07,19.117
W01000610 : Pembrokeshire 016A,23.43,22.08,16.064,21.948
W01000611 : Pembrokeshire 004C,49.235,52.445,59.623,77.035
W01000612 : Pembrokeshire 003C,26.96,26.205,19.711,31.019
W01000613 : Pembrokeshire 001E,18.548,19.499,19.117,25.774
W01000614 : Pembrokeshire 008D,39.25,44.144,47.724,54.965
W01000615 : Pembrokeshire 011E,5.143,5.191,4.655,5.584
W01000616 : Pembrokeshire 011F,21.269,19.605,15.59,21.773
W01000617 : Pembrokeshire 002F,12.549,12.322,14.014,17.032
W01000618 : Pembrokeshire 003D,32.94,32.007,32.254,38.091
W01000619 : Pembrokeshire 016B,25.574,20.987,18.215,21.86
W01000620 : Pembrokeshire 016C,29.652,32.709,27.295,36.179
W01000621 : Pembrokeshire 016D,22.121,21.869,17.672,23.247
W01000622 : Pembrokeshire 008E,39.25,44.144,47.724,54.965
W01000623 : Pembrokeshire 004D,21.387,21.379,24.488,29.815
